Nom,Pays,Description,Lien
"""Barrack Rima""","""Liban""","""Né en 1972 à Tripoli au Liban et résidant à Bruxelles, Barrack Rima a étudié la Bande Dessinée et l’Illustration à l’Académie Royale des Beaux-Arts de Bruxelles ainsi que le cinéma-radio-tv à l’Institut des Arts de Diffusion de Louvain-la-Neuve (Belgique).

Auteur de bandes dessinées et cinéaste, Rima travaille également pour des spectacles de musique, de théâtre, cirque et danse. Depuis 1996, il est membre du comité de rédaction de la revue libanaise Samandal.

Parmi ses bandes dessinées : « Beyrouth » (2013), « Le Conteur du Caire » (1998) et « Beyrouth bye bye » (2015)."""," ""https://www.artforness.com/barrack-rima/"""
"""Tracy Chahwan""","""Liban""","""Tracy Chahwan est née en 1992 à Beyrouth. Sa première bande dessinée, “Beirut Bloody Beirut” (Marabulles, 2018) raconte l’histoire de deux filles perdues dans Beyrouth la nuit. Ses histoires sont marquées par un humour noir et l’expérience chaotique de la ville.  Le travail d’illustration de Tracy Chahwan consiste essentiellement à créer des affiches pour des scènes de musique underground, comme le Beirut Groove Collective. Elle est membre du collectif libanais Samandal et co-fondatrice du collectif radical “Zeez”."""," ""https://www.artforness.com/tracy-chahwan/"""
"""Noémie Honein""","""Liban""","""Née en 1993 à Beyrouth, Noémie est une artiste auteure libanaise actuellement basée à Toulouse. Elle travaille sur sa première Bande dessinée “Depuis que j’ai découvert l’importance du poil de nez” pour laquelle elle a été invitée en résidence à la Maison des Auteurs d’Angoulême et à Colomiers par son festival de BD indé. Ce dernier sortira en fin d’année chez Sarbacane. En parallèle, Noémie développe son univers coloré d’illustrations qui a été sujet d’expositions entre le Liban et la France. Bien que les dessins de Noémie, sont majoritairement réalisés au crayon de bois (son outil préféré), elle aime explorer d’autres styles artistiques tel que la peinture à l’huile ou sur tissu.

Lors d’une de ses interviews elle dit : « j’aime bien quand c’est saturé »"""," ""https://www.artforness.com/noemie-honein/"""
"""Sadri Khiari""","""Tunisie""","""Sadri Khiari est né en 1958 à Tunis .Son doctorat de science politique en poche, il prend le temps d’assouvir sa passion pour la Bande Dessinée et la peinture sous-verre tunisienne.

Il publie régulièrement dans le LAB619, un magazine tunisien de bandes dessinées qui existe depuis 2012, ainsi que des caricatures et des strips sur des thèmes liés à l’actualité politique pour différents médias, comme le journal tunisien « Nawaat ».

Il travaille actuellement sur deux projets de Bandes Dessinées, le premier, intitulé « Vive la révolution », le second s’intitule « Tombes » et traite de la mélancolie postrévolutionnaire."""," ""https://www.artforness.com/sadri-khiari"""
"""Salim Zerrouki""","""Algérie""","""Salim Zerrouki est né en 1978 à Alger. Gribouiller sur les tables d’école n’a pas fait que rendre ses instituteurs hystériques, ça a également eu le mérite de le propulser vers l’école des Beaux-Arts d’Alger. Après un passage par le design graphique et la publicité, il finit par s’installer à Tunis où il publie sa première bande dessinée « 100% BLED » (Encre de nuit, 2018). Il s’agit d’un recueil d’histoires courtes où Salim nous invite à regarder avec tendresse les petits et grands défauts de la civilisation arabe, une civilisation aux multiples facettes."""," ""https://www.artforness.com/salim-zerrouki/"""
"""Abdelaziz Mouride""","""Maroc""","""Abdelaziz Mouride est reconnu comme le pionnier de la bande dessinée marocaine. Membre fondateur du Mouvement du 23 mars, un des principaux courants de l’extrême gauche marocaine de la fin des années 1960, Mouride est arrêté en 1974, il sera libéré en 1984 après dix ans de détention. Durant sa réclusion, il réalise clandestinement une bande dessinée évoquant la situation des prisonniers politiques au temps de Hassan II : “Dans les entrailles de mon pays” qui sera rééditée dans une version augmentée sous le titre: ” On affame bien les rats”.

Il décède en 2013, laissant inachevée une partie des planches de son dernier projet : l’adaptation en bande dessinée du roman de Mohamed Choukri, Le Pain Nu."""," ""https://www.artforness.com/abdelaziz-mouride/"""
"""Diala Brisly""","""Syrie""","""Né au Koweït de parents syriens en 1980, elle a grandi à Damas et y est resté jusqu’à ce que les soulèvements l’envoient à Beyrouth.

Elle a débuté en tant que caricaturiste en 2001. Depuis lors, sa carrière a englobé une variété de médiums et de capacités, y compris la mise en page, l’animation, l’art conceptuel, la peinture, la bande dessinée et la conception de personnages.

La participation artistique à des campagnes et à des événements politiques ont été une force motrice pour elle. Maintenant, elle se concentre davantage sur la situation en matière d’éducation des enfants syriens et des réfugiés en général.

En 2014, elle a lancé sa propre initiative en réalisant des peintures murales dans les camps de réfugiés."""," ""https://www.artforness.com/diala-brisly"""
"""Skander Beldi""","""Tunisie""","""Skander Beldi alias « Flask » est né en 1975 à Tunis. Issu d’une formation en « design-produit », il se convertit rapidement en illustrateur, caricaturiste et graphiste.

Il a ainsi illustré des contes pour enfants et participé à plusieurs projets autour de l’enfance. En 2013, il sort son premier livre « Flask » dans lequel il compose une fresque sociale à plusieurs facettes de la Tunisie post-révolution.

Il est membre du collectif Tunisien Lab619 et fondateur de son studio de création « Le chat sur les nuages »."""," ""https://www.artforness.com/skander-beldi/"""
"""Atelier Glibett""","""Tunisie""","""Glibett est un collectif d’illustrateurs, d’illustratrices et designers passionnés par les glibettes.

Tunisiens avant tout, ils aiment mettre en scène des situations et des attitudes du quotidien. Le brouhaha du marché central, le bric à brac des fripes, les sucreries qu’on regrette d’avoir mangé mais qui sont tellement bonnes… Chaque glibette du collectif développe son propre univers graphique cela les rapproche et les enrichit … enfin, s’ils arrivent à se mettre d’accord !!!

Créé en 2017 par Zeineb Ben Haouala et Noha Habaieb , l’équipe a été rapidement rejointe par Sonia , Khalil  et Assala

Avec ArtForNess vous pourrez découvrir au fil de l’aventure les petits trésors de cette bande de chamboule-tout."""," ""https://www.artforness.com/atelier-glibett"""
"""LAB619""","""Tunisie""","""Leur première réunion s’est déroulée dans le café Porto Fino au Lac 1, il y avait Adenov, Aymen Mbarek, Chakib Daoud, Needhal Ghariani, Seifeddine Nechi, Zied Mejri et Noha Habaieb.

Ils avaient discuté de leur volonté de créer un magazine de bande dessinée pour adultes, où ils peuvent s’exprimer sans contrainte et explorer de nouveaux styles graphiques.

Ils avaient proposé chacun un nom pour le magazine, et ils ont voté pour celui de Chakib, « Lab » comme laboratoire et 619 comme les trois premiers chiffres du code barre qu’on retrouve sur les produits commerciaux tunisiens.

Le Lab619 était né.""

Le premier numéro est sorti le 9 Mars 2013, à la librairie Claire fontaine en Tunisie, le public était au rdv.

Depuis leurs réunions ont continué pendant longtemps dans ce café du lac, certains sont partis de nouveaux sont venus. Comme un petit humain le Lab a grandi, évolué. Il a fait ses premiers pas, difficilement, mais il a su tenir bon.

Il a 6 ans et demi aujourd’hui et 10 beaux numéros, chaque numéro est une histoire, et c’est grâce à toutes ces petites mains qui ont dessiné, écrit, coordonnée que le Lab est toujours là.

Longue vie au Lab619!"," ""https://www.artforness.com/lab619/"""
"""Skefkef""","""Maroc""","""“Skefkef” est une revue casablancaise de BD indépendante qui s’inscrit dans la ligne des projets collectif d’auto-publication au Maroc. Ce projet a été créer dans le cadre d´une résidence artistique organisée par Salah Malouli, l’un des fondateurs, en juillet 2013 à Casablanca.

Le fanzine a pour but d’explorer la dimension sociale et culturelle marocaine à travers des dessins et des textes qui oscillent entre le sérieux et le satirique, le bon et le mauvais, tout en décrivant les nuances et les contrastes d’une société en pleine mutation.

D´ailleurs, le nom choisi pour mettre en valeur cette réalité culturelle fait référence à un sandwich populaire à Casablanca, célèbre sous le nom ”Skefkef”. Comme ces sandwiches savoureux mais à l’hygiène douteuse (“khanez ou bnine”), la bande dessinée revendique ce côté populaire en se concentrant sur les sujets qui font le plus réagir la société.""

Nous comptons parmi les intervenants : Ayoub Normal, Hosni Almoukhlis, Mehdi Annassi et Rebel Spirit."," ""https://www.artforness.com/skefkef/"""
